accession,true_ec,name,length,struct_hit,struct_hit_ec,tm_score,struct_hit_identity,struct_agree,seq_hit,seq_hit_ec,seq_identity,seq_agree
A5JYX5,1.1.1.1,Protein dhs-3 (Alcohol dehydrogenase dhs-3) (EC 1.1.1.1),309,P00334,1.1.1.1,0.7846,17.58,4,P00334,1.1.1.1,17.58,4
P00326,1.1.1.1,Alcohol dehydrogenase 1C (EC 1.1.1.1) (Alcohol dehydrogenase subunit gamma),375,P00329,1.1.1.1,0.9995,85.07,4,P00329,1.1.1.1,85.07,4
P00329,1.1.1.1,Alcohol dehydrogenase 1 (EC 1.1.1.1) (ADH-A2) (Alcohol dehydrogenase A subunit),375,P00326,1.1.1.1,0.9995,85.07,4,P00326,1.1.1.1,85.07,4
P00330,1.1.1.1,Alcohol dehydrogenase 1 (EC 1.1.1.1) (EC 1.1.1.54) (EC 1.1.1.78) (Alcohol dehydrogenase I) (ADHI) (NADH-dependent methylglyoxal reductase) (YADH-1),348,P00331,1.1.1.1,0.9968,93.1,4,P00331,1.1.1.1,93.1,4
P00331,1.1.1.1,Alcohol dehydrogenase 2 (EC 1.1.1.1) (Alcohol dehydrogenase II) (ADHII) (YADH-2),348,P00330,1.1.1.1,0.9968,93.1,4,P00330,1.1.1.1,93.1,4
P00332,1.1.1.1,Alcohol dehydrogenase (EC 1.1.1.1),350,P00330,1.1.1.1,0.9723,52.87,4,P00330,1.1.1.1,52.87,4
P00334,1.1.1.1,Alcohol dehydrogenase (EC 1.1.1.1),256,A5JYX5,1.1.1.1,0.7846,17.58,4,P00342,1.1.1.27,18.75,3
P06525,1.1.1.1,Alcohol dehydrogenase class-P (AtADH) (EC 1.1.1.1),379,P00329,1.1.1.1,0.9543,50.67,4,P00326,1.1.1.1,50.67,4
O32765,1.1.1.27,L-lactate dehydrogenase (L-LDH) (EC 1.1.1.27),323,P00343,1.1.1.27,0.9795,64.71,4,P00343,1.1.1.27,64.71,4
P00338,1.1.1.27,L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59),332,P00339,1.1.1.27,0.9982,92.77,4,P04642,1.1.1.27,94.28,4
P00339,1.1.1.27,L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M),332,P04642,1.1.1.27,0.9984,93.07,4,P04642,1.1.1.27,93.07,4
P00341,1.1.1.27,L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH-M),333,P04642,1.1.1.27,0.9951,79.52,4,P00339,1.1.1.27,80.42,4
P00342,1.1.1.27,L-lactate dehydrogenase C chain (LDH-C) (EC 1.1.1.27) (LDH testis subunit) (LDH-X),332,P00339,1.1.1.27,0.9954,71.69,4,P00338,1.1.1.27,72.59,4
P00343,1.1.1.27,L-lactate dehydrogenase (L-LDH) (EC 1.1.1.27),326,O32765,1.1.1.27,0.9795,64.71,4,O32765,1.1.1.27,64.71,4
P00344,1.1.1.27,L-lactate dehydrogenase (L-LDH) (EC 1.1.1.27),317,P00343,1.1.1.27,0.9731,54.26,4,P00343,1.1.1.27,54.26,4
P04642,1.1.1.27,L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M),332,P00339,1.1.1.27,0.9984,93.07,4,P00338,1.1.1.27,94.28,4
F1C7I4,1.1.1.37,"Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Cytosolic malate dehydrogenase)",332,P11708,1.1.1.37,0.9895,57.83,4,O88989,1.1.1.37,58.43,4
O82399,1.1.1.37,"Malate dehydrogenase 1, peroxisomal (EC 1.1.1.37) (Peroxisomal NAD-dependent malate dehydrogenase 1) (pxNAD-MDH1) (Peroxisomal malate dehydrogenase 1) (Peroxisomal MDH1)",354,P17505,1.1.1.37,0.9262,50.0,4,P08249,1.1.1.37,52.37,4
O88989,1.1.1.37,"Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Aromatic alpha-keto acid reductase) (KAR) (Cytosolic malate dehydrogenase)",334,P14152,1.1.1.37,1.0,99.1,4,P14152,1.1.1.37,99.1,4
P04636,1.1.1.37,"Malate dehydrogenase, mitochondrial (EC 1.1.1.37)",338,P08249,1.1.1.37,0.9851,98.82,4,P08249,1.1.1.37,98.82,4
P08249,1.1.1.37,"Malate dehydrogenase, mitochondrial (EC 1.1.1.37)",338,P04636,1.1.1.37,0.9851,98.82,4,P04636,1.1.1.37,98.82,4
P11708,1.1.1.37,"Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Aromatic alpha-keto acid reductase) (KAR) (Cytosolic malate dehydrogenase)",334,O88989,1.1.1.37,0.9983,94.91,4,O88989,1.1.1.37,94.91,4
P14152,1.1.1.37,"Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Aromatic alpha-keto acid reductase) (KAR) (Cytosolic malate dehydrogenase)",334,O88989,1.1.1.37,1.0,99.1,4,O88989,1.1.1.37,99.1,4
P17505,1.1.1.37,"Malate dehydrogenase, mitochondrial (EC 1.1.1.37)",334,P04636,1.1.1.37,0.9434,52.4,4,P04636,1.1.1.37,52.4,4
P05370,1.1.1.49,Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.-.-.-) (EC 1.1.1.49),515,Q00612,1.1.1.49,0.9985,98.64,4,Q00612,1.1.1.49,98.64,4
P0AC53,1.1.1.49,Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49) [Cleaved into: Extracellular death factor (EDF)],491,P97324,1.1.1.49,0.926,34.22,4,Q9LK23,1.1.1.49,37.27,4
P11412,1.1.1.49,Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49),505,Q9LK23,1.1.1.49,0.9366,49.31,4,Q9FJI5,1.1.1.49,50.1,4
P11413,1.1.1.49,Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.-.-.-) (EC 1.1.1.49),515,P05370,1.1.1.49,0.9981,93.79,4,P05370,1.1.1.49,93.79,4
P97324,1.1.1.49,Glucose-6-phosphate 1-dehydrogenase 2 (G6PD) (EC 1.-.-.-) (EC 1.1.1.49),513,P11413,1.1.1.49,0.9877,87.13,4,Q00612,1.1.1.49,92.2,4
Q00612,1.1.1.49,Glucose-6-phosphate 1-dehydrogenase X (G6PD) (EC 1.-.-.-) (EC 1.1.1.49),515,P05370,1.1.1.49,0.9985,98.64,4,P05370,1.1.1.49,98.64,4
